Date,Open,High,Low,Close,Volume
2010-12-01,134.35,137.0,134.1,136.85,2180
2010-12-02,134.9,135.3,132.85,133.25,5073
2010-12-03,134.55,134.55,130.8,131.2,1746
2010-12-06,132.2,133.3,131.9,132.1,2159
2010-12-07,134.6,134.85,134.0,134.8,399
2010-12-08,134.05,134.5,132.7,133.45,767
2010-12-09,133.15,134.3,132.6,132.8,1927
2010-12-10,132.45,132.5,131.55,132.4,1477
2010-12-13,131.75,134.0,131.75,132.7,1160
2010-12-14,130.0,130.55,127.75,130.3,5181
2010-12-15,129.5,133.55,127.9,133.35,2264
2010-12-16,133.5,135.0,132.55,134.9,1900
2010-12-17,134.8,135.5,132.75,135.5,321
2010-12-20,135.45,137.5,134.4,136.8,3562
2010-12-21,139.0,140.3,139.0,139.4,5102
2010-12-22,140.0,141.7,139.45,140.8,1164
2010-12-23,141.1,141.95,139.25,139.4,3357
2010-12-27,138.0,139.05,135.1,137.6,2477
2010-12-28,139.2,139.2,137.15,138.05,1211
2010-12-29,139.0,139.0,137.45,138.1,894
2010-12-30,140.0,140.0,136.8,136.8,275
2011-01-03,136.6,139.2,135.45,138.75,3899
2011-01-04,138.5,140.15,137.15,138.7,3486
2011-01-05,140.0,141.9,139.05,141.6,3578
2011-01-06,143.0,144.3,142.1,143.0,1141
2011-01-07,143.3,145.1,142.0,142.75,2866
2011-01-10,144.3,144.3,141.2,141.4,3284
2011-01-11,144.1,144.1,142.1,142.1,2450
2011-01-12,142.0,143.0,140.55,140.9,1962
2011-01-13,140.75,140.8,138.05,139.3,899
2011-01-14,139.75,140.55,138.0,140.55,841
2011-01-18,142.0,142.15,140.3,142.15,5562
2011-01-19,143.0,143.0,137.15,139.0,1153
2011-01-20,140.45,140.55,135.65,135.65,2074
2011-01-21,134.0,136.1,131.7,133.15,2573
2011-01-24,132.9,132.9,127.85,128.8,2363
2011-01-25,129.7,133.15,128.5,128.5,1806
2011-01-26,128.0,130.55,127.95,127.95,1401
2011-01-27,127.65,132.2,127.65,130.6,1857
2011-01-28,121.8,126.5,121.0,124.55,30395
2011-01-31,125.05,125.95,122.5,123.9,10494
2011-02-01,124.6,124.9,123.3,124.9,3958
2011-02-02,125.05,125.3,124.0,125.3,1122
2011-02-03,126.55,127.7,125.6,126.5,680
2011-02-04,128.0,129.65,127.05,129.5,2237
